placeId,brand,lat,lon
1216666,Pret a Manger,40.753988,-73.9849769
1230361,Taco Bell,40.7570555,-73.9864838
352991,McDonald's,40.75816814196968,-73.98892064532903
950355,Chick-fil-A,40.7577963,-73.9896991
351972,McDonald's,40.754735734432046,-73.98827218487067
618844,Pret a Manger,40.758076813968174,-73.98147586937328
352292,McDonald's,40.75770191177825,-73.98180887027893
293133,Domino's,40.75530433638315,-73.98885504708439
618839,Pret a Manger,40.754151038718625,-73.98868163621101
905753,Wendy's,40.75571339503161,-73.9905885120736
1221876,Raising Cane's,40.75697,-73.98734
268079,Chick-fil-A,40.757486137231865,-73.9820027243561
909692,Shake Shack,40.75847622732217,-73.9891208288187
618845,Pret a Manger,40.75626009526141,-73.98204363601519
314112,Five Guys,40.75718583716535,-73.98915315138296
235969,Taco Bell,40.7552667,-73.9895821
288294,Popeyes,40.7552885900199,-73.98957805708052
